simple_name,source,mtg_classification
Coming of the Lord,1 Thessalonians,Enchantment
Caught Up in Clouds,1 Thessalonians,Enchantment
Thief in the Night,1 Thessalonians,Enchantment
Armor of Faith,1 Thessalonians,Equipment
Labor of Love,1 Thessalonians,Enchantment
Sanctification,1 Thessalonians,Legendary Creature
Trumpet Call,1 Thessalonians,Sorcery
Quiet Life,1 Thessalonians,Enchantment
Those Asleep,1 Thessalonians,Enchantment
Children of Light,1 Thessalonians,Enchantment
Hope of Resurrection,1 Thessalonians,Sorcery
Comfort One Another,1 Thessalonians,Enchantment
Gospel Power,1 Thessalonians,Enchantment
Watchful Night,1 Thessalonians,Enchantment
