simple_name,source,mtg_classification
Wisdom of the Cross,1 Corinthians,Artifact
Body of Christ,1 Corinthians,Enchantment
Love is Patient,1 Corinthians,Enchantment
Lord's Supper,1 Corinthians,Sorcery
Temple of the Spirit,1 Corinthians,Land
Resurrection Body,1 Corinthians,Sorcery
A Little Leaven,1 Corinthians,Enchantment
Foolishness of God,1 Corinthians,Enchantment
Last Trumpet,1 Corinthians,Artifact
Spiritual Gifts,1 Corinthians,Enchantment
Run the Race,1 Corinthians,Enchantment
Divisions in the Church,1 Corinthians,Enchantment
Sexual Purity,1 Corinthians,Enchantment
Marriage Covenant,1 Corinthians,Enchantment
Head Covering,1 Corinthians,Equipment
Idols' Temple,1 Corinthians,Land
Tongues and Prophecy,1 Corinthians,Sorcery
Love Chapter,1 Corinthians,Enchantment
Resurrection Victory,1 Corinthians,Sorcery
Heavenly Bodies,1 Corinthians,Enchantment
Collection for Saints,1 Corinthians,Enchantment
Judging Angels,1 Corinthians,Enchantment
Baptism into One Body,1 Corinthians,Sorcery
Cross-shaped Ministry,1 Corinthians,Artifact
Shame of the Cross,1 Corinthians,Artifact
Spiritual Fatherhood,1 Corinthians,Enchantment
Wisdom of the World,1 Corinthians,Enchantment
Perishable Crown,1 Corinthians,Equipment
Seed Sown,1 Corinthians,Enchantment
Last Adam,1 Corinthians,Enchantment
