simple_name,source,mtg_classification
Genealogy of Adam,1 Chronicles,Enchantment
Genealogy of Israel,1 Chronicles,Enchantment
Sons of David,1 Chronicles,Creature
David,1 Chronicles,Legendary Creature
Ark Procession,1 Chronicles,Saga
Levitical Singers,1 Chronicles,Creature
Temple Plans,1 Chronicles,Artifact
Mighty Men,1 Chronicles,Creature
Asaph's Song,1 Chronicles,Sorcery
Thanksgiving Psalm,1 Chronicles,Sorcery
David's Census,1 Chronicles,Sorcery
Ornan's Threshing Floor,1 Chronicles,Land
The LORD's House,1 Chronicles,Artifact
Priestly Courses,1 Chronicles,Enchantment
Tribes of Israel,1 Chronicles,Creature
Prayer of Jabez,1 Chronicles,Instant
Covenant with David,1 Chronicles,Enchantment
Valiant Men,1 Chronicles,Creature
Temple Musicians,1 Chronicles,Creature
Cedar Preparations,1 Chronicles,Artifact
Gathering at Hebron,1 Chronicles,Saga
House of Judah,1 Chronicles,Enchantment
House of Israel,1 Chronicles,Enchantment
Gatekeepers,1 Chronicles,Creature
