simple_name,source,mtg_classification
Deposit Guarded,2 Timothy,Enchantment
Scripture-Breathed,2 Timothy,Legendary Creature
Crown of Righteousness,2 Timothy,Equipment
Endure Hardship,2 Timothy,Enchantment
Soldier of Christ,2 Timothy,Enchantment
Last Days Peril,2 Timothy,Enchantment
Useful Vessel,2 Timothy,Artifact
Race Finished,2 Timothy,Enchantment
Winter Cloak,2 Timothy,Equipment
Message Preached,2 Timothy,Enchantment
Demas Deserted,2 Timothy,Enchantment
Sound Words,2 Timothy,Enchantment
Faithful Soldier,2 Timothy,Enchantment
Jannes and Jambres,2 Timothy,Enchantment
Perilous Times,2 Timothy,Enchantment
Guard the Deposit,2 Timothy,Enchantment
