simple_name,source,mtg_classification
Solomon,1 Kings,Legendary Creature
Wisdom of Solomon,1 Kings,Enchantment
Temple of Solomon,1 Kings,Artifact
House of the LORD,1 Kings,Artifact
Shekinah Glory,1 Kings,Enchantment
Dedication of the Temple,1 Kings,Saga
Division of the Kingdom,1 Kings,Saga
Rehoboam,1 Kings,Legendary Creature
Jeroboam,1 Kings,Legendary Creature
Golden Calves,1 Kings,Artifact
Altar Tearing,1 Kings,Sorcery
Elijah,1 Kings,Legendary Creature
Drought,1 Kings,Enchantment
Widow's Oil,1 Kings,Instant
Mount Carmel,1 Kings,Land
Fire from Heaven,1 Kings,Instant
Naboth's Vineyard,1 Kings,Land
Ahab,1 Kings,Legendary Creature
Jezebel,1 Kings,Legendary Creature
Still Small Voice,1 Kings,Instant
Prophets of Baal,1 Kings,Creature
Chariot of Fire,1 Kings,Instant
Micaiah,1 Kings,Legendary Creature
Elijah's Altar,1 Kings,Artifact
Bronze Sea,1 Kings,Artifact
Bronze Pillars,1 Kings,Artifact
Queen of Sheba,1 Kings,Legendary Creature
Ben-Hadad,1 Kings,Legendary Creature
Hiram's Cedar,1 Kings,Artifact
The Kingdom Split,1 Kings,Saga
Jeroboam's Hand,1 Kings,Instant
Battle of Carmel,1 Kings,Battle
