simple_name,source,mtg_classification
Hannah,1 Samuel,Legendary Creature
Eli,1 Samuel,Legendary Creature
Samuel,1 Samuel,Legendary Creature
Saul,1 Samuel,Legendary Creature
Jonathan,1 Samuel,Legendary Creature
David,1 Samuel,Legendary Creature
Goliath,1 Samuel,Legendary Creature
Agag,1 Samuel,Legendary Creature
Abigail,1 Samuel,Legendary Creature
Nabal,1 Samuel,Legendary Creature
The Ark Captured,1 Samuel,Battle
Dagon Falls,1 Samuel,Instant
The Ark Returns,1 Samuel,Saga
Anointing of Saul,1 Samuel,Sorcery
Anointing of David,1 Samuel,Sorcery
Saul's Jealousy,1 Samuel,Enchantment
Saul's Spear,1 Samuel,Equipment
The LORD Rejects Saul,1 Samuel,Enchantment
Jonathan's Armor Bearer,1 Samuel,Creature
Witch of Endor,1 Samuel,Creature
Saul's Armor,1 Samuel,Equipment
Naioth,1 Samuel,Land
Ramah,1 Samuel,Land
Mizpah Renewal,1 Samuel,Enchantment
Battle of Aphek,1 Samuel,Battle
Spirit of the LORD,1 Samuel,Enchantment
David and Jonathan,1 Samuel,Enchantment
Amalekite Ban,1 Samuel,Sorcery
