simple_name,source,mtg_classification
Virtue Ladder,2 Peter,Enchantment
Lamp in Dark Place,2 Peter,Artifact
False Teachers,2 Peter,Creature
Transfiguration Witness,2 Peter,Creature
Day of the Lord,2 Peter,Sorcery
New Heavens,2 Peter,Legendary Land
Divine Nature,2 Peter,Enchantment
Dog Returns,2 Peter,Creature
Peter's Tent,2 Peter,Artifact
Error of Balaam,2 Peter,Sorcery
Scoffers in the Last Days,2 Peter,Creature
Flood of Noah,2 Peter,Sorcery
Sodom's Ashes,2 Peter,Sorcery
Beloved Reminder,2 Peter,Instant
Prophetic Word,2 Peter,Artifact
Unstable Souls,2 Peter,Creature
Deceitful Fables,2 Peter,Sorcery
Long-suffering Salvation,2 Peter,Enchantment
Melted Elements,2 Peter,Sorcery
Grow in Grace,2 Peter,Enchantment
Righteous Lot,2 Peter,Creature
Spots and Blemishes,2 Peter,Enchantment
Tainted Springs,2 Peter,Land
White-hot Fire,2 Peter,Sorcery
