simple_name,source,mtg_classification
Ptolemy Philopator,3 Maccabees,Legendary Creature
Royal Fury,3 Maccabees,Sorcery
Jewish Feast,3 Maccabees,Enchantment
Temple Courtyard,3 Maccabees,Land
Elephant Corps,3 Maccabees,Creature
Prayer of the Priests,3 Maccabees,Instant
Decree of Death,3 Maccabees,Sorcery
Marked Jews,3 Maccabees,Creature
Angel of Rescue,3 Maccabees,Legendary Creature
Angelic Horsemen,3 Maccabees,Creature
Divine Terror,3 Maccabees,Sorcery
Deliverance from Elephants,3 Maccabees,Sorcery
Wine and Perfume Banquet,3 Maccabees,Sorcery
Temple Security,3 Maccabees,Artifact
Judgment of the King,3 Maccabees,Sorcery
Thanksgiving of the Jews,3 Maccabees,Enchantment
Festival of Victory,3 Maccabees,Enchantment
Smoke of Terror,3 Maccabees,Sorcery
Great Mourning,3 Maccabees,Saga
Royal Register,3 Maccabees,Artifact
The Holy City,3 Maccabees,Land
Priestly Intercession,3 Maccabees,Instant
