simple_name,source,mtg_classification
Eleazar,4 Maccabees,Legendary Creature
Seven Brothers,4 Maccabees,Creature
Mother of the Martyrs,4 Maccabees,Legendary Creature
Antiochus Epiphanes,4 Maccabees,Legendary Creature
Tyrant's Torture,4 Maccabees,Sorcery
Reason Mastery,4 Maccabees,Enchantment
Piety's Crown,4 Maccabees,Artifact
Temperance,4 Maccabees,Enchantment
Courage in Fire,4 Maccabees,Enchantment
Martyr's Witness,4 Maccabees,Instant
Holy Passion,4 Maccabees,Enchantment
Victory of Reason,4 Maccabees,Enchantment
Law of God,4 Maccabees,Enchantment
Death Conquered,4 Maccabees,Sorcery
Rack and Fire,4 Maccabees,Sorcery
The Noble Soul,4 Maccabees,Creature
The Flesh and Spirit,4 Maccabees,Enchantment
Faithful Suffering,4 Maccabees,Saga
Torture Chamber,4 Maccabees,Land
Martyr's Crown,4 Maccabees,Artifact
Eleazar's Speech,4 Maccabees,Instant
Mother's Exhortation,4 Maccabees,Instant
The Righteous Mind,4 Maccabees,Enchantment
Unconquered Piety,4 Maccabees,Enchantment
The Tyrant Falls,4 Maccabees,Sorcery
