simple_name,source,mtg_classification
Josiah,1 Esdras,Legendary Creature
Cyrus,1 Esdras,Legendary Creature
Darius,1 Esdras,Legendary Creature
Zerubbabel,1 Esdras,Legendary Creature
Ezra,1 Esdras,Legendary Creature
Temple of Jerusalem,1 Esdras,Land
Babylonian Exile,1 Esdras,Saga
Return from Exile,1 Esdras,Saga
Passover of Josiah,1 Esdras,Sorcery
Altar Restored,1 Esdras,Artifact
House of the LORD,1 Esdras,Land
Three Bodyguards,1 Esdras,Creature
Truth Prevails,1 Esdras,Enchantment
Temple Rebuilt,1 Esdras,Saga
Persian Decree,1 Esdras,Sorcery
Enemies of Judah,1 Esdras,Creature
Letters to the King,1 Esdras,Artifact
Ezra's Reading,1 Esdras,Instant
Covenant Renewal,1 Esdras,Enchantment
Levites of the House,1 Esdras,Creature
Gold from the Temple,1 Esdras,Artifact
Feast of Unleavened Bread,1 Esdras,Enchantment
King's Favor,1 Esdras,Enchantment
Rebuilding the Wall,1 Esdras,Saga
